 seedlen = 0 lowscore = 0
Mutation Data Matrix (120 PAMs)
ARNDCQEGHILKMFPSTWYVBZX
matrix constant = 8
Residue identity scores 10
ARNDCQEGHILKMFPSTWYVBZX
matrix constant = 0

100000 sequences to be read in length range 50 -> 500

Calculating peptide table based on length 6
Reading user file of seq.s: final.seq
 user_in = 1
End of user sequences
7150 sequences read into 7150 blocks, (7150 are keyed)


 ****** CYCLE 0 ******
Minimum score held = 20
Top 3 scores held per sequence
Sequences in the range 1<Dij<1000 scored
Adjacent sequences scored with bonus of 10
141196 pairs collected
144024
 npairs = 144024
pre_order  npairs = 144024
 malloc OK
reorder  malloc OK done
preorder  new block mallock OK
cluster_pairs total list_alloc = 1660
pack_lists 6982/7150 blocks moved

New sequence order is:
* Block 0 <=== 320	USER>>AACN010607701.1/895-1033	  139   [+0+] AACN010607701.1/895-1033 Canis familiaris ctg19866851718594, whole genome shotgun sequence.
* Block 3488 <=== 6759	USER>>HE601630.1/5043753-5043874	  122   [+0+] HE601630.1/5043753-5043874 Schistosoma mansoni strain Puerto Rico chromosome 7, complete genome
* Block 3489 <=== 6605	USER>>ACQM01096333.1/5250-5367	  118   [+0+] ACQM01096333.1/5250-5367 Saccoglossus kowalevskii Contig96545, whole genome shotgun sequence.
* Block 3490 <=== 6604	USER>>AFSB01174273.1/17874-17987	  114   [+0+] AFSB01174273.1/17874-17987 Heterocephalus glaber contig174273, whole genome shotgun sequence.
* Block 3491 <=== 5896	USER>>ADND01302355.1/1621-1801	  181   [+0+] ADND01302355.1/1621-1801 Lepeophtheirus salmonis strain Pacific Contig_322489, whole genome shotgun sequence.
* Block 3492 <=== 6748	USER>>AALT01615576.1/3125-3307	  183   [+0+] AALT01615576.1/3125-3307 Sorex araneus cont1.615575, whole genome shotgun sequence.
* Block 3493 <=== 6749	USER>>AAFC03045945.1/50367-50496	  130   [+1+] AAFC03045945.1/50367-50496 Bos taurus Ctg82.CH240-339H21, whole genome shotgun sequence.
* Block 3494 <=== 2501	USER>>ACER01000170.1/156603-156811	  209   [+0+] ACER01000170.1/156603-156811 Naegleria gruberi strain NEG-M NAEGRscaffold_14_Cont170, whole genome shotgun sequence.
* Block 3495 <=== 2499	USER>>ACER01000440.1/183606-183796	  191   [+8+] ACER01000440.1/183606-183796 Naegleria gruberi strain NEG-M NAEGRscaffold_46_Cont440, whole genome shotgun sequence.
* Block 3496 <=== 2497	USER>>ACER01000381.1/37994-37806	  189   [+1+] ACER01000381.1/37994-37806 Naegleria gruberi strain NEG-M NAEGRscaffold_38_Cont381, whole genome shotgun sequence.
* Block 3497 <=== 2500	USER>>ACER01000247.1/219-14	  206   [+2+] ACER01000247.1/219-14 Naegleria gruberi strain NEG-M NAEGRscaffold_22_Cont247, whole genome shotgun sequence.
* Block 3498 <=== 2498	USER>>ACER01000428.1/172985-173178	  194   [+1+] ACER01000428.1/172985-173178 Naegleria gruberi strain NEG-M NAEGRscaffold_45_Cont428, whole genome shotgun sequence.
* Block 3499 <=== 2423	USER>>AFXF01001406.1/91539-91350	  190   [+2+] AFXF01001406.1/91539-91350 Tetrahymena elliotti 4EA cont1.1406, whole genome shotgun sequence.
* Block 3500 <=== 2931	USER>>AAGW02029151.1/15578-15693	  116   [+0+] AAGW02029151.1/15578-15693 Oryctolagus cuniculus cont2.29150, whole genome shotgun sequence.
* Block 3501 <=== 2474	USER>>AAQR03060620.1/2334-2162	  173   [+0+] AAQR03060620.1/2334-2162 Otolemur garnettii contig060620, whole genome shotgun sequence.
* Block 3502 <=== 4166	USER>>AAVX01061556.1/2209-2003	  207   [+0+] AAVX01061556.1/2209-2003 Callorhinchus milii scaf_1099306921978, whole genome shotgun sequence.
* Block 3503 <=== 4003	USER>>ACIV011481281.1/94-200	  107   [+0+] ACIV011481281.1/94-200 Ovis aries omc16_9000001.95, whole genome shotgun sequence.
* Block 3504 <=== 4128	USER>>DAAA02042283.1/20114-20270	  157   [+2+] DAAA02042283.1/20114-20270 TPA: Bos taurus chromosome 16 7180002003985, whole genome shotgun sequence.
* Block 3505 <=== 2658	USER>>AAGT03056082.1/13587-13764	  178   [+0+] AAGT03056082.1/13587-13764 Loxodonta africana cont3.56081, whole genome shotgun sequence.
* Block 3506 <=== 3865	USER>>ABRR01237011.1/1068-1256	  189   [+0+] ABRR01237011.1/1068-1256 Vicugna pacos cont1.237010, whole genome shotgun sequence.
* Block 3507 <=== 3026	USER>>AAWZ02032378.1/8962-8750	  213   [+0+] AAWZ02032378.1/8962-8750 Anolis carolinensis chromosome Tnknown cont2.32377, whole genome shotgun sequence.
* Block 3508 <=== 2473	USER>>AAGT03025063.1/200046-200230	  185   [+0+] AAGT03025063.1/200046-200230 Loxodonta africana cont3.25062, whole genome shotgun sequence.
* Block 3509 <=== 2997	USER>>AAQR03004282.1/22672-22791	  120   [+0+] AAQR03004282.1/22672-22791 Otolemur garnettii contig004282, whole genome shotgun sequence.
* Block 3510 <=== 3178	USER>>AANN01352021.1/5990-6175	  186   [+0+] AANN01352021.1/5990-6175 Erinaceus europaeus cont1.352020, whole genome shotgun sequence.
* Block 3511 <=== 3179	USER>>AEYP01067473.1/75590-75723	  134   [+0+] AEYP01067473.1/75590-75723 Mustela putorius furo contig067473, whole genome shotgun sequence.
* Block 3512 <=== 3040	USER>>AAGW02023942.1/121525-121328	  198   [+0+] AAGW02023942.1/121525-121328 Oryctolagus cuniculus cont2.23941, whole genome shotgun sequence.
* Block 3513 <=== 2454	USER>>AAGW02074023.1/6566-6441	  126   [+0+] AAGW02074023.1/6566-6441 Oryctolagus cuniculus cont2.74022, whole genome shotgun sequence.
* Block 3514 <=== 3044	USER>>AAVX01307742.1/1080-918	  163   [+0+] AAVX01307742.1/1080-918 Callorhinchus milii dengenscaf_1099306803599, whole genome shotgun sequence.
* Block 3515 <=== 3740	USER>>AFSB01192315.1/3470-3251	  220   [+0+] AFSB01192315.1/3470-3251 Heterocephalus glaber contig192315, whole genome shotgun sequence.
* Block 3516 <=== 3047	USER>>AALT01296252.1/232-75	  158   [+0+] AALT01296252.1/232-75 Sorex araneus cont1.296251, whole genome shotgun sequence.
* Block 3517 <=== 3048	USER>>AAPE02005891.1/45500-45634	  135   [+0+] AAPE02005891.1/45500-45634 Myotis lucifugus cont2.5890, whole genome shotgun sequence.
* Block 3518 <=== 2925	USER>>ABVD01073743.1/283-166	  118   [+0+] ABVD01073743.1/283-166 Choloepus hoffmanni cont1.73742, whole genome shotgun sequence.
* Block 3519 <=== 2918	USER>>AAGW02006060.1/7092-6983	  110   [+1+] AAGW02006060.1/7092-6983 Oryctolagus cuniculus cont2.6059, whole genome shotgun sequence.
* Block 3520 <=== 2917	USER>>AAGW02020431.1/87816-87929	  114   [+0+] AAGW02020431.1/87816-87929 Oryctolagus cuniculus cont2.20430, whole genome shotgun sequence.
* Block 3521 <=== 2916	USER>>AAKN02017536.1/64812-64693	  120   [+0+] AAKN02017536.1/64812-64693 Cavia porcellus strain inbred line 2N cont2.17535, whole genome shotgun sequence.
* Block 3522 <=== 3814	USER>>ACPB02030601.1/17288-17505	  218   [+0+] ACPB02030601.1/17288-17505 Rhodnius prolixus Contig17727.29, whole genome shotgun sequence.
* Block 3523 <=== 2919	USER>>AAGW02050169.1/64233-64404	  172   [+0+] AAGW02050169.1/64233-64404 Oryctolagus cuniculus cont2.50168, whole genome shotgun sequence.
* Block 3524 <=== 2457	USER>>AEYP01015202.1/16884-16769	  116   [+0+] AEYP01015202.1/16884-16769 Mustela putorius furo contig015202, whole genome shotgun sequence.
* Block 3525 <=== 2921	USER>>ACTA01028247.1/41962-42112	  151   [+0+] ACTA01028247.1/41962-42112 Ailuropoda melanoleuca scaffold2637_18, whole genome shotgun sequence.
* Block 3526 <=== 2920	USER>>AEYP01008789.1/30190-30283	   94   [+0+] AEYP01008789.1/30190-30283 Mustela putorius furo contig008789, whole genome shotgun sequence.
* Block 3527 <=== 3076	USER>>ACTA01162183.1/1646-1745	  100   [+0+] ACTA01162183.1/1646-1745 Ailuropoda melanoleuca scaffold904_49, whole genome shotgun sequence.
* Block 3528 <=== 2923	USER>>AAEX03010209.1/12555-12709	  155   [+1+] AAEX03010209.1/12555-12709 Canis lupus familiaris cont3.10209, whole genome shotgun sequence.
* Block 3529 <=== 2924	USER>>AFTD01019977.1/11771-11569	  203   [+0+] AFTD01019977.1/11771-11569 Cricetulus griseus cell line CHO-K1, whole genome shotgun sequence.
* Block 3530 <=== 2895	USER>>ABRN01308168.1/1692-1865	  174   [+0+] ABRN01308168.1/1692-1865 Tursiops truncatus cont1.308167, whole genome shotgun sequence.
* Block 3531 <=== 3737	USER>>AALT01464849.1/945-736	  210   [+0+] AALT01464849.1/945-736 Sorex araneus cont1.464848, whole genome shotgun sequence.
* Block 3532 <=== 3151	USER>>AAYZ01102021.1/8794-8983	  190   [+0+] AAYZ01102021.1/8794-8983 Ochotona princeps cont2.102020, whole genome shotgun sequence.
* Block 3533 <=== 4105	USER>>AADA01057635.1/11022-11137	  116   [+10+] AADA01057635.1/11022-11137 Pan troglodytes ctg_57634, whole genome shotgun sequence.
* Block 3534 <=== 4106	USER>>AAKN02017142.1/41831-41731	  101   [+0+] AAKN02017142.1/41831-41731 Cavia porcellus strain inbred line 2N cont2.17141, whole genome shotgun sequence.
* Block 3535 <=== 2470	USER>>AAKN02035769.1/12656-12781	  126   [+0+] AAKN02035769.1/12656-12781 Cavia porcellus strain inbred line 2N cont2.35768, whole genome shotgun sequence.
* Block 3536 <=== 3815	USER>>AAGW02008948.1/13830-13942	  113   [+0+] AAGW02008948.1/13830-13942 Oryctolagus cuniculus cont2.8947, whole genome shotgun sequence.
* Block 3537 <=== 3256	USER>>AEHL01088266.1/322-208	  115   [+7+] AEHL01088266.1/322-208 Macaca fascicularis contig88266, whole genome shotgun sequence.
* Block 3538 <=== 3258	USER>>CAEC01014893.1/1498-1387	  112   [+38+] CAEC01014893.1/1498-1387 Macaca fascicularis, whole genome shotgun sequence, contig chr10_14893
* Block 3539 <=== 3252	USER>>AGCE01089833.1/29596-29693	   98   [+1+] AGCE01089833.1/29596-29693 Saimiri boliviensis boliviensis contig089833, whole genome shotgun sequence.
* Block 3540 <=== 2930	USER>>AFSA01762562.1/288-354	   67   [+0+] AFSA01762562.1/288-354 Lactuca sativa, whole genome shotgun sequence.
* Block 3541 <=== 3967	USER>>AAEX03026894.1/36673-36483	  191   [+0+] AAEX03026894.1/36673-36483 Canis lupus familiaris cont3.26894, whole genome shotgun sequence.
* Block 3542 <=== 3966	USER>>AAQR03093848.1/10063-9879	  185   [+0+] AAQR03093848.1/10063-9879 Otolemur garnettii contig093848, whole genome shotgun sequence.
* Block 3543 <=== 3027	USER>>AAYZ01498449.1/1352-1204	  149   [+0+] AAYZ01498449.1/1352-1204 Ochotona princeps cont2.498448, whole genome shotgun sequence.
* Block 3544 <=== 4538	USER>>AALT01250257.1/2205-2345	  141   [+0+] AALT01250257.1/2205-2345 Sorex araneus cont1.250256, whole genome shotgun sequence.
* Block 3545 <=== 4537	USER>>AAGW02025207.1/9932-10121	  190   [+0+] AAGW02025207.1/9932-10121 Oryctolagus cuniculus cont2.25206, whole genome shotgun sequence.
* Block 3546 <=== 2932	USER>>ABDC01254226.1/1181-1346	  166   [+0+] ABDC01254226.1/1181-1346 Microcebus murinus cont1.254225, whole genome shotgun sequence.
* Block 3547 <=== 3296	USER>>AANG01575172.1/914-790	  125   [+1+] AANG01575172.1/914-790 Felis catus cont1.575171, whole genome shotgun sequence.
* Block 3548 <=== 4088	USER>>ABRN01352172.1/1931-1826	  106   [+11+] ABRN01352172.1/1931-1826 Tursiops truncatus cont1.352171, whole genome shotgun sequence.
* Block 3549 <=== 3605	USER>>ACIV012238808.1/36-133	   98   [+2+] ACIV012238808.1/36-133 Ovis aries omcun.165.134, whole genome shotgun sequence.
* Block 3550 <=== 2458	USER>>AFSB01169585.1/9609-9494	  116   [+0+] AFSB01169585.1/9609-9494 Heterocephalus glaber contig169585, whole genome shotgun sequence.
* Block 3551 <=== 3329	USER>>ABRR01290773.1/7552-7669	  118   [+0+] ABRR01290773.1/7552-7669 Vicugna pacos cont1.290772, whole genome shotgun sequence.
* Block 3552 <--- 2471	USER>>AFTD01103251.1/16533-16428	  106   [+0+] AFTD01103251.1/16533-16428 Cricetulus griseus cell line CHO-K1, whole genome shotgun sequence.
* Block 3553 <--- 2472	USER>>ABVD01721671.1/416-287	  130   [+0+] ABVD01721671.1/416-287 Choloepus hoffmanni cont1.721670, whole genome shotgun sequence.
* Block 3554 <--- 2480	USER>>AAIY01210954.1/5979-5785	  195   [+0+] AAIY01210954.1/5979-5785 Echinops telfairi cont1.210953, whole genome shotgun sequence.
* Block 3555 <=== 4502	USER>>AAIY01140009.1/4514-4642	  129   [+0+] AAIY01140009.1/4514-4642 Echinops telfairi cont1.140008, whole genome shotgun sequence.
* Block 3556 <=== 5053	USER>>AFSB01178890.1/88293-88155	  139   [+0+] AFSB01178890.1/88293-88155 Heterocephalus glaber contig178890, whole genome shotgun sequence.
* Block 3557 <=== 5054	USER>>AEYP01017879.1/23790-23884	   95   [+0+] AEYP01017879.1/23790-23884 Mustela putorius furo contig017879, whole genome shotgun sequence.
* Block 3558 <=== 5055	USER>>AFSB01084848.1/13171-13021	  151   [+0+] AFSB01084848.1/13171-13021 Heterocephalus glaber contig84848, whole genome shotgun sequence.
* Block 3559 <=== 5011	USER>>ABVD01006990.1/11657-11806	  150   [+0+] ABVD01006990.1/11657-11806 Choloepus hoffmanni cont1.6989, whole genome shotgun sequence.
* Block 3560 <=== 5065	USER>>ABDC01209073.1/1401-1333	   69   [+0+] ABDC01209073.1/1401-1333 Microcebus murinus cont1.209072, whole genome shotgun sequence.
* Block 3561 <=== 4514	USER>>ACIV011126813.1/1338-1502	  165   [+0+] ACIV011126813.1/1338-1502 Ovis aries omc12_1.632, whole genome shotgun sequence.
* Block 3562 <=== 4162	USER>>ABRN01420549.1/3653-3471	  183   [+0+] ABRN01420549.1/3653-3471 Tursiops truncatus cont1.420548, whole genome shotgun sequence.
* Block 3563 <=== 4161	USER>>ABRT010028269.1/6768-6653	  116   [+0+] ABRT010028269.1/6768-6653 Tarsius syrichta cont1.28268, whole genome shotgun sequence.
* Block 3564 <=== 4160	USER>>AAGW02054072.1/46524-46429	   96   [+0+] AAGW02054072.1/46524-46429 Oryctolagus cuniculus cont2.54071, whole genome shotgun sequence.
* Block 3565 <=== 3326	USER>>AAGW02033333.1/16279-16174	  106   [+0+] AAGW02033333.1/16279-16174 Oryctolagus cuniculus cont2.33332, whole genome shotgun sequence.
* Block 3566 <=== 3327	USER>>ABRN01421687.1/6794-6685	  110   [+0+] ABRN01421687.1/6794-6685 Tursiops truncatus cont1.421686, whole genome shotgun sequence.
* Block 3567 <=== 3110	USER>>ABRN01397140.1/20412-20317	   96   [+0+] ABRN01397140.1/20412-20317 Tursiops truncatus cont1.397139, whole genome shotgun sequence.
* Block 3568 <=== 3111	USER>>ACQM01003945.1/17511-17616	  106   [+0+] ACQM01003945.1/17511-17616 Saccoglossus kowalevskii Contig3954, whole genome shotgun sequence.
* Block 3569 <=== 3347	USER>>ADFV01083667.1/7995-8093	   99   [+0+] ADFV01083667.1/7995-8093 Nomascus leucogenys contig_123674, whole genome shotgun sequence.
* Block 3570 <=== 3345	USER>>AEHL01397255.1/3358-3502	  145   [+0+] AEHL01397255.1/3358-3502 Macaca fascicularis contig397255, whole genome shotgun sequence.
* Block 3571 <=== 3348	USER>>AEHK01351145.1/2510-2683	  174   [+14+] AEHK01351145.1/2510-2683 Macaca mulatta contig351145, whole genome shotgun sequence.
* Block 3572 <=== 3346	USER>>ACFV01096354.1/11201-11388	  188   [+1+] ACFV01096354.1/11201-11388 Callithrix jacchus Contig183.48, whole genome shotgun sequence.
* Block 3573 <=== 3166	USER>>AALT01323983.1/205-314	  110   [+0+] AALT01323983.1/205-314 Sorex araneus cont1.323982, whole genome shotgun sequence.
* Block 3574 <=== 3020	USER>>AAHX01073586.1/11503-11424	   80   [+1+] AAHX01073586.1/11503-11424 Rattus norvegicus strain BN; Sprague-Dawley chromosome 13 CRA_213000034397853, whole genome shotgun sequence.
* Block 3575 <=== 3021	USER>>AALT01578069.1/5510-5436	   75   [+0+] AALT01578069.1/5510-5436 Sorex araneus cont1.578068, whole genome shotgun sequence.
* Block 3576 <=== 3022	USER>>AALT01531893.1/337-408	   72   [+0+] AALT01531893.1/337-408 Sorex araneus cont1.531892, whole genome shotgun sequence.
* Block 3577 <=== 2820	USER>>AAGW02008950.1/54486-54581	   96   [+0+] AAGW02008950.1/54486-54581 Oryctolagus cuniculus cont2.8949, whole genome shotgun sequence.
* Block 3578 <=== 4294	USER>>AAWZ02017780.1/52851-52742	  110   [+0+] AAWZ02017780.1/52851-52742 Anolis carolinensis chromosome 3 cont2.17779, whole genome shotgun sequence.
* Block 3579 <=== 3332	USER>>ABRT010009025.1/1326-1173	  154   [+0+] ABRT010009025.1/1326-1173 Tarsius syrichta cont1.9024, whole genome shotgun sequence.
* Block 3580 <=== 3242	USER>>AAYZ01461727.1/339-187	  153   [+0+] AAYZ01461727.1/339-187 Ochotona princeps cont2.461726, whole genome shotgun sequence.
* Block 3581 <=== 2859	USER>>AFSB01021747.1/9029-9137	  109   [+0+] AFSB01021747.1/9029-9137 Heterocephalus glaber contig21747, whole genome shotgun sequence.
* Block 3582 <=== 2485	USER>>AAYZ01086824.1/182-287	  106   [+0+] AAYZ01086824.1/182-287 Ochotona princeps cont2.86823, whole genome shotgun sequence.
* Block 3583 <=== 2484	USER>>AAYZ01053238.1/1090-1153	   64   [+0+] AAYZ01053238.1/1090-1153 Ochotona princeps cont2.53237, whole genome shotgun sequence.
* Block 3584 <=== 4059	USER>>AAKN02046252.1/45072-44938	  135   [+0+] AAKN02046252.1/45072-44938 Cavia porcellus strain inbred line 2N cont2.46251, whole genome shotgun sequence.
* Block 3585 <=== 5431	USER>>AFSB01036760.1/16863-16735	  129   [+0+] AFSB01036760.1/16863-16735 Heterocephalus glaber contig36760, whole genome shotgun sequence.
* Block 3586 <=== 4911	USER>>AACZ03113890.1/9481-9650	  170   [+15+] AACZ03113890.1/9481-9650 Pan troglodytes chromosome 18 Contig54.243, whole genome shotgun sequence.
* Block 3587 <=== 4066	USER>>AFSB01143942.1/23447-23330	  118   [+0+] AFSB01143942.1/23447-23330 Heterocephalus glaber contig143942, whole genome shotgun sequence.
* Block 3588 <=== 4138	USER>>ABRO01396484.1/2449-2574	  126   [+0+] ABRO01396484.1/2449-2574 Dipodomys ordii cont1.396483, whole genome shotgun sequence.
* Block 3589 <=== 3905	USER>>ABDC01024843.1/13444-13520	   77   [+0+] ABDC01024843.1/13444-13520 Microcebus murinus cont1.24842, whole genome shotgun sequence.
* Block 3590 <=== 3904	USER>>AAYZ01139057.1/2139-1986	  154   [+0+] AAYZ01139057.1/2139-1986 Ochotona princeps cont2.139056, whole genome shotgun sequence.
* Block 3591 <=== 5066	USER>>AAYZ01670147.1/876-941	   66   [+0+] AAYZ01670147.1/876-941 Ochotona princeps cont2.670146, whole genome shotgun sequence.
* Block 3592 <=== 5067	USER>>AAIY01683010.1/4219-4139	   81   [+0+] AAIY01683010.1/4219-4139 Echinops telfairi cont1.683011, whole genome shotgun sequence.
* Block 3593 <=== 5068	USER>>AL672230.6/53887-53958	   72   [+4+] AL672230.6/53887-53958 Mouse DNA sequence from clone RP23-56L5 on chromosome X Contains a Fas-activated serine/threonine kinase (Fastk) pseudogene and a novel gene.
* Block 3594 <=== 5069	USER>>CABD02324700.1/3969-4071	  103   [+0+] CABD02324700.1/3969-4071 Gorilla gorilla gorilla whole genome shotgun sequence assembly, chr6_111029488_684800.23
* Block 3595 <=== 4112	USER>>AAPE02040296.1/69684-69585	  100   [+0+] AAPE02040296.1/69684-69585 Myotis lucifugus cont2.40295, whole genome shotgun sequence.
* Block 3596 <=== 3864	USER>>ABRR01443957.1/50-1	   50   [+0+] ABRR01443957.1/50-1 Vicugna pacos cont1.443956, whole genome shotgun sequence.
* Block 3597 <=== 5151	USER>>AALT01316019.1/161-269	  109   [+0+] AALT01316019.1/161-269 Sorex araneus cont1.316018, whole genome shotgun sequence.
* Block 3598 <=== 3164	USER>>AY879065.1/64-198	  135   [+0+] AY879065.1/64-198 Ciona intestinalis AFLP marker B0822, partial sequence.
* Block 3599 <=== 2660	USER>>AACT01051947.1/1320-1372	   53   [+4+] AACT01051947.1/1320-1372 Ciona savignyi cont_51947, whole genome shotgun sequence.
* Block 3600 <=== 4266	USER>>ACFV01032026.1/39092-39203	  112   [+0+] ACFV01032026.1/39092-39203 Callithrix jacchus Contig32.76, whole genome shotgun sequence.
* Block 3601 <=== 4261	USER>>AFSB01025679.1/15067-14997	   71   [+0+] AFSB01025679.1/15067-14997 Heterocephalus glaber contig25679, whole genome shotgun sequence.
* Block 3602 <=== 4262	USER>>AEQT010331914.1/1270-1369	  100   [+0+] AEQT010331914.1/1270-1369 Python molurus contig26813755, whole genome shotgun sequence.
* Block 3603 <=== 5093	USER>>ABRM01035978.1/4963-4893	   71   [+1+] ABRM01035978.1/4963-4893 Hydra magnipapillata strain 105 ctg1101284741549, whole genome shotgun sequence.
* Block 3604 <=== 5092	USER>>AAYZ01181464.1/784-906	  123   [+0+] AAYZ01181464.1/784-906 Ochotona princeps cont2.181463, whole genome shotgun sequence.
* Block 3605 <--- 2494	USER>>AFTD01049379.1/20768-20901	  134   [+0+] AFTD01049379.1/20768-20901 Cricetulus griseus cell line CHO-K1, whole genome shotgun sequence.
* Block 3606 <--- 2551	USER>>AAGW02052683.1/43290-43380	   91   [+0+] AAGW02052683.1/43290-43380 Oryctolagus cuniculus cont2.52682, whole genome shotgun sequence.
* Block 3607 <=== 2554	USER>>AEQT010620293.1/63-1	   63   [+0+] AEQT010620293.1/63-1 Python molurus contig24826482, whole genome shotgun sequence.
* Block 3608 <=== 2555	USER>>AAGW02011148.1/93388-93512	  125   [+0+] AAGW02011148.1/93388-93512 Oryctolagus cuniculus cont2.11147, whole genome shotgun sequence.
* Block 3609 <=== 3085	USER>>AEYP01031525.1/6840-6970	  131   [+0+] AEYP01031525.1/6840-6970 Mustela putorius furo contig031525, whole genome shotgun sequence.
* Block 3610 <=== 3391	USER>>AACT01036882.1/1-130	  130   [+25+] AACT01036882.1/1-130 Ciona savignyi cont_36882, whole genome shotgun sequence.
* Block 3611 <=== 3393	USER>>AACT01061934.1/561-373	  189   [+54+] AACT01061934.1/561-373 Ciona savignyi cont_61934, whole genome shotgun sequence.
* Block 3612 <=== 3390	USER>>AACT01013550.1/168-1	  168   [+0+] AACT01013550.1/168-1 Ciona savignyi cont_13550, whole genome shotgun sequence.
* Block 3613 <=== 3392	USER>>AACT01046392.1/407-210	  198   [+5+] AACT01046392.1/407-210 Ciona savignyi cont_46392, whole genome shotgun sequence.
* Block 3614 <=== 3394	USER>>AACT01036860.1/1-131	  131   [+0+] AACT01036860.1/1-131 Ciona savignyi cont_36860, whole genome shotgun sequence.
* Block 3615 <=== 3395	USER>>AACT01051284.1/529-401	  129   [+0+] AACT01051284.1/529-401 Ciona savignyi cont_51284, whole genome shotgun sequence.
* Block 3616 <=== 3389	USER>>AACT01062819.1/3730-3633	   98   [+4+] AACT01062819.1/3730-3633 Ciona savignyi cont_62819, whole genome shotgun sequence.
* Block 3617 <=== 3388	USER>>AACT01063641.1/1196-1350	  155   [+0+] AACT01063641.1/1196-1350 Ciona savignyi cont_63641, whole genome shotgun sequence.
* Block 3618 <=== 3386	USER>>AACT01050693.1/627-736	  110   [+6+] AACT01050693.1/627-736 Ciona savignyi cont_50693, whole genome shotgun sequence.
* Block 3619 <=== 3387	USER>>AACT01038291.1/115-1	  115   [+0+] AACT01038291.1/115-1 Ciona savignyi cont_38291, whole genome shotgun sequence.
* Block 3620 <=== 2563	USER>>ADFV01053372.1/15662-15539	  124   [+0+] ADFV01053372.1/15662-15539 Nomascus leucogenys contig_98377, whole genome shotgun sequence.
* Block 3621 <=== 2564	USER>>AABR05006688.1/15931-15751	  181   [+1+] AABR05006688.1/15931-15751 Rattus norvegicus strain BN/SsNHsdMCW Contig6686, whole genome shotgun sequence.
* Block 3622 <=== 4034	USER>>AEHK01122898.1/29880-30021	  142   [+1+] AEHK01122898.1/29880-30021 Macaca mulatta contig122898, whole genome shotgun sequence.
* Block 3623 <=== 3700	USER>>ABRT010168365.1/12438-12306	  133   [+0+] ABRT010168365.1/12438-12306 Tarsius syrichta cont1.168364, whole genome shotgun sequence.
* Block 3624 <=== 3875	USER>>AAQR03156790.1/1142-1322	  181   [+0+] AAQR03156790.1/1142-1322 Otolemur garnettii contig156790, whole genome shotgun sequence.
* Block 3625 <=== 3874	USER>>AFYH01134169.1/604-432	  173   [+0+] AFYH01134169.1/604-432 Latimeria chalumnae contig134169, whole genome shotgun sequence.
* Block 3626 <=== 3146	USER>>AASC02005193.1/3156-2954	  203   [+0+] AASC02005193.1/3156-2954 Aplysia californica cont2.5192, whole genome shotgun sequence.
* Block 3627 <=== 5191	USER>>AC245978.6/19229-19110	  120   [+1+] AC245978.6/19229-19110 Solanum lycopersicum strain Heinz 1706 chromosome 1 clone slm-3l17 map 1, complete sequence.
* Block 3628 <=== 2797	USER>>AFSB01236090.1/4262-4074	  189   [+0+] AFSB01236090.1/4262-4074 Heterocephalus glaber contig236090, whole genome shotgun sequence.
* Block 3629 <=== 4306	USER>>AAIY01678281.1/1082-984	   99   [+0+] AAIY01678281.1/1082-984 Echinops telfairi cont1.678282, whole genome shotgun sequence.
* Block 3630 <=== 2584	USER>>AALT01663786.1/5324-5167	  158   [+0+] AALT01663786.1/5324-5167 Sorex araneus cont1.663785, whole genome shotgun sequence.
* Block 3631 <=== 2585	USER>>AGCE01074374.1/52132-52240	  109   [+1+] AGCE01074374.1/52132-52240 Saimiri boliviensis boliviensis contig074374, whole genome shotgun sequence.
* Block 3632 <=== 3356	USER>>AALT01075856.1/174-283	  110   [+0+] AALT01075856.1/174-283 Sorex araneus cont1.075855, whole genome shotgun sequence.
* Block 3633 <=== 3352	USER>>ABRT010110350.1/11760-11649	  112   [+0+] ABRT010110350.1/11760-11649 Tarsius syrichta cont1.110349, whole genome shotgun sequence.
* Block 3634 <=== 3644	USER>>AAGV020076327.1/80-1	   80   [+0+] AAGV020076327.1/80-1 Dasypus novemcinctus cont2.76326, whole genome shotgun sequence.
* Block 3635 <=== 3643	USER>>ABQF01007270.1/49125-48937	  189   [+0+] ABQF01007270.1/49125-48937 Taeniopygia guttata chromosome 1 Contig3.1005, whole genome shotgun sequence.
* Block 3636 <=== 2840	USER>>ABQO010324395.1/1703-1522	  182   [+0+] ABQO010324395.1/1703-1522 Macropus eugenii Contig324409, whole genome shotgun sequence.
* Block 3637 <=== 3353	USER>>AAPE02043242.1/133269-133159	  111   [+0+] AAPE02043242.1/133269-133159 Myotis lucifugus cont2.43241, whole genome shotgun sequence.
* Block 3638 <=== 3354	USER>>AANT01209068.1/37304-37203	  102   [+10+] AANT01209068.1/37304-37203 Macaca mulatta 1099214695101, whole genome shotgun sequence.
* Block 3639 <=== 3754	USER>>ABGA01200213.1/10871-10770	  102   [+0+] ABGA01200213.1/10871-10770 Pongo abelii chromosome 12 P_pygmaeus2.0.2_Contig736.25, whole genome shotgun sequence.
* Block 3640 <=== 3344	USER>>ACBE01574328.1/377-269	  109   [+2+] ACBE01574328.1/377-269 Felis catus c421601106.Contig1b00, whole genome shotgun sequence.
* Block 3641 <=== 4098	USER>>AAQR03127605.1/570-692	  123   [+0+] AAQR03127605.1/570-692 Otolemur garnettii contig127605, whole genome shotgun sequence.
