 seedlen = 0 lowscore = 0
Mutation Data Matrix (120 PAMs)
ARNDCQEGHILKMFPSTWYVBZX
matrix constant = 8
Residue identity scores 10
ARNDCQEGHILKMFPSTWYVBZX
matrix constant = 0

100000 sequences to be read in length range 50 -> 500

Calculating peptide table based on length 6
Reading user file of seq.s: final.seq
 user_in = 1
End of user sequences
2985 sequences read into 2985 blocks, (2985 are keyed)


 ****** CYCLE 0 ******
Minimum score held = 20
Top 3 scores held per sequence
Sequences in the range 1<Dij<100 scored
Adjacent sequences scored with bonus of 10
33436 pairs collected
34752
 npairs = 34752
pre_order  npairs = 34752
 malloc OK
reorder  malloc OK done
preorder  new block mallock OK
cluster_pairs total list_alloc = 680
pack_lists 2884/2985 blocks moved

New sequence order is:
* Block 0 <=== 1	USER>SEED:>RF00004	  111   [+0+] 2lkr_A mol na length 111  RNA (111-MER)
* Block 1782 <--- 1579	USER>>AAYZ01369886.1/2340-2428	   89   [+0+] AAYZ01369886.1/2340-2428 Ochotona princeps cont2.369885, whole genome shotgun sequence.
* Block 1783 <--- 1583	USER>>AAQR03163482.1/2641-2748	  108   [+0+] AAQR03163482.1/2641-2748 Otolemur garnettii contig163482, whole genome shotgun sequence.
* Block 1784 <--- 1585	USER>>AACY021201824.1/895-765	  131   [+0+] AACY021201824.1/895-765 Marine metagenome 1597183, whole genome shotgun sequence.
* Block 1785 <--- 1590	USER>>BAAE01195075.1/1-115	  115   [+0+] BAAE01195075.1/1-115 Oryzias latipes DNA, contig194996 in scaffold12050, strain: HNI.
* Block 1786 <=== 1591	USER>>FJ475971.1/1-98	   98   [+0+] FJ475971.1/1-98 Dongmoa sp. PS-2009 voucher MCZ DNA101100 T2 snRNA gene, partial sequence.
* Block 1787 <=== 1614	USER>>ET289838.1/1-110	  110   [+0+] ET289838.1/1-110 Crassitoniella flammea voucher C.335411 T2 snRNA gene, partial sequence.
* Block 1788 <=== 1817	USER>>AACT01052138.1/1-96	   96   [+0+] AACT01052138.1/1-96 Ciona savignyi cont_52138, whole genome shotgun sequence.
* Block 1789 <=== 1634	USER>>Z55471.1/1-99	   99   [+0+] Z55471.1/1-99 H.sapiens CpG island DNA genomic Mse1 fragment, clone 42c5, reverse read cpg42c5.rt1a .
* Block 1790 <=== 1592	USER>>AACT01036860.1/1-131	  131   [+0+] AACT01036860.1/1-131 Ciona savignyi cont_36860, whole genome shotgun sequence.
* Block 1791 <=== 1633	USER>>AACT01034202.1/1-98	   98   [+0+] AACT01034202.1/1-98 Ciona savignyi cont_34202, whole genome shotgun sequence.
* Block 1792 <=== 1715	USER>>AACT01046622.1/770-672	   99   [+0+] AACT01046622.1/770-672 Ciona savignyi cont_46622, whole genome shotgun sequence.
* Block 1793 <=== 1880	USER>>K03094.1/1-99	   99   [+0+] K03094.1/1-99 D. melanogaster T2 small nuclear RNA, 3' end.
* Block 1794 <=== 1827	USER>>DAAB012375858.1/16-139	  124   [+1+] DAAB012375858.1/16-139 TPA: Homo sapiens contig2375858, whole genome shotgun sequence.
* Block 1795 <=== 1770	USER>>AGTP01043419.1/1346-1234	  113   [+0+] AGTP01043419.1/1346-1234 Spermophilus tridecemlineatus contig043419, whole genome shotgun sequence.
* Block 1796 <=== 1826	USER>>AFYH01060971.1/3386-3501	  116   [+0+] AFYH01060971.1/3386-3501 Latimeria chalumnae contig060971, whole genome shotgun sequence.
* Block 1797 <=== 1907	USER>>AAVX01404968.1/438-525	   88   [+0+] AAVX01404968.1/438-525 Callorhinchus milii singleton_1098948027671, whole genome shotgun sequence.
* Block 1798 <=== 1909	USER>>AAPN01276856.1/543-418	  126   [+0+] AAPN01276856.1/543-418 Ornithorhynchus anatinus Cont39779.1, whole genome shotgun sequence.
* Block 1799 <=== 1948	USER>>ABRT010168365.1/12438-12306	  133   [+0+] ABRT010168365.1/12438-12306 Tarsius syrichta cont1.168364, whole genome shotgun sequence.
* Block 1800 <=== 2013	USER>>AALT01549647.1/1348-1237	  112   [+0+] AALT01549647.1/1348-1237 Sorex araneus cont1.549646, whole genome shotgun sequence.
* Block 1801 <=== 2010	USER>>AACT01062819.1/3730-3633	   98   [+0+] AACT01062819.1/3730-3633 Ciona savignyi cont_62819, whole genome shotgun sequence.
* Block 1802 <=== 2079	USER>>AACT01038291.1/702-613	   90   [+0+] AACT01038291.1/702-613 Ciona savignyi cont_38291, whole genome shotgun sequence.
* Block 1803 <=== 1593	USER>>AJ505690.1/1-130	  130   [+0+] AJ505690.1/1-130 Arabidopsis thaliana partial putative T2 small nuclear RNA (T2 snRNA gene), clone Ath-227c, 5' end incomplete
* Block 1804 <=== 1686	USER>>AFSA01104885.1/2667-2562	  106   [+0+] AFSA01104885.1/2667-2562 Lactuca sativa, whole genome shotgun sequence.
* Block 1805 <--- 1655	USER>>ACYM01030310.1/8742-8615	  128   [+0+] ACYM01030310.1/8742-8615 Malus x domestica MDC004482.286, whole genome shotgun sequence.
* Block 1806 <--- 1662	USER>>AAMC01084307.1/17335-17431	   97   [+0+] AAMC01084307.1/17335-17431 Xenopus (Silurana) tropicalis XENTRscaffold_403_Cont84307, whole genome shotgun sequence.
* Block 1807 <=== 1845	USER>>AAYZ01334440.1/2028-1905	  124   [+0+] AAYZ01334440.1/2028-1905 Ochotona princeps cont2.334439, whole genome shotgun sequence.
* Block 1808 <=== 1750	USER>>AAGW02051776.1/57551-57683	  133   [+0+] AAGW02051776.1/57551-57683 Oryctolagus cuniculus cont2.51775, whole genome shotgun sequence.
* Block 1809 <=== 1850	USER>>AAGV020130039.1/1310-1209	  102   [+0+] AAGV020130039.1/1310-1209 Dasypus novemcinctus cont2.130038, whole genome shotgun sequence.
* Block 1810 <=== 1897	USER>>AAGW02032210.1/14008-13882	  127   [+0+] AAGW02032210.1/14008-13882 Oryctolagus cuniculus cont2.32209, whole genome shotgun sequence.
* Block 1811 <=== 1881	USER>>ACFV01021047.1/211-343	  133   [+0+] ACFV01021047.1/211-343 Callithrix jacchus Contig18.461, whole genome shotgun sequence.
* Block 1812 <=== 1928	USER>>AGCE01028833.1/12723-12591	  133   [+0+] AGCE01028833.1/12723-12591 Saimiri boliviensis boliviensis contig028833, whole genome shotgun sequence.
* Block 1813 <=== 1782	USER>>AAHX01007835.1/4252-4349	   98   [+1+] AAHX01007835.1/4252-4349 Rattus norvegicus strain BN; Sprague-Dawley chromosome 1 CRA_213000034339570, whole genome shotgun sequence.
* Block 1814 <=== 1846	USER>>AAYZ01085513.1/4908-4771	  138   [+0+] AAYZ01085513.1/4908-4771 Ochotona princeps cont2.85512, whole genome shotgun sequence.
* Block 1815 <=== 1843	USER>>ABRQ01721327.1/811-913	  103   [+0+] ABRQ01721327.1/811-913 Procavia capensis cont1.721326, whole genome shotgun sequence.
* Block 1816 <=== 1844	USER>>AAYZ01373068.1/1271-1149	  123   [+0+] AAYZ01373068.1/1271-1149 Ochotona princeps cont2.373067, whole genome shotgun sequence.
* Block 1817 <=== 1889	USER>>AFSB01008871.1/2889-2780	  110   [+0+] AFSB01008871.1/2889-2780 Heterocephalus glaber contig8871, whole genome shotgun sequence.
* Block 1818 <=== 1888	USER>>AAYZ01102864.1/178-45	  134   [+0+] AAYZ01102864.1/178-45 Ochotona princeps cont2.102863, whole genome shotgun sequence.
* Block 1819 <=== 1956	USER>>ABRT010315175.1/326-426	  101   [+0+] ABRT010315175.1/326-426 Tarsius syrichta cont1.315174, whole genome shotgun sequence.
* Block 1820 <=== 1852	USER>>AAYZ01120539.1/6077-6213	  137   [+0+] AAYZ01120539.1/6077-6213 Ochotona princeps cont2.120538, whole genome shotgun sequence.
* Block 1821 <=== 1706	USER>>DAAA02056337.1/24212-24098	  115   [+0+] DAAA02056337.1/24212-24098 TPA: Bos taurus chromosome 24 7180001726721, whole genome shotgun sequence.
* Block 1822 <=== 1762	USER>>AAFC03040495.1/72246-72360	  115   [+0+] AAFC03040495.1/72246-72360 Bos taurus Ctg52.CH240-311C8, whole genome shotgun sequence.
* Block 1823 <=== 1802	USER>>AADD01047597.1/18690-18574	  117   [+2+] AADD01047597.1/18690-18574 Homo sapiens chromosome 4 WGSA:47596 contig 47596 scaffold 76, whole genome shotgun sequence.
* Block 1824 <=== 1809	USER>>ABSL01076139.1/109617-109501	  117   [+0+] ABSL01076139.1/109617-109501 Homo sapiens CTG_1112749611161, whole genome shotgun sequence.
* Block 1825 <=== 1870	USER>>AEKP01042748.1/42414-42530	  117   [+0+] AEKP01042748.1/42414-42530 Homo sapiens cont1.42747, whole genome shotgun sequence.
* Block 1826 <=== 1942	USER>>AACZ03033390.1/63962-63837	  126   [+2+] AACZ03033390.1/63962-63837 Pan troglodytes chromosome 4 Contig49.324, whole genome shotgun sequence.
* Block 1827 <=== 1900	USER>>ABBA01063400.1/109633-109517	  117   [+1+] ABBA01063400.1/109633-109517 Homo sapiens CTG_1103279031009, whole genome shotgun sequence.
* Block 1828 <=== 1785	USER>>ADFV01030176.1/17233-17109	  125   [+0+] ADFV01030176.1/17233-17109 Nomascus leucogenys contig_75176, whole genome shotgun sequence.
* Block 1829 <=== 1786	USER>>AFSB01084413.1/833-715	  119   [+0+] AFSB01084413.1/833-715 Heterocephalus glaber contig84413, whole genome shotgun sequence.
* Block 1830 <=== 1792	USER>>AAPE02034263.1/64534-64426	  109   [+0+] AAPE02034263.1/64534-64426 Myotis lucifugus cont2.34262, whole genome shotgun sequence.
* Block 1831 <=== 1791	USER>>AAGW02035142.1/104892-104808	   85   [+0+] AAGW02035142.1/104892-104808 Oryctolagus cuniculus cont2.35141, whole genome shotgun sequence.
* Block 1832 <=== 1790	USER>>AAGW02056851.1/89494-89382	  113   [+0+] AAGW02056851.1/89494-89382 Oryctolagus cuniculus cont2.56850, whole genome shotgun sequence.
* Block 1833 <=== 1855	USER>>AFSB01201020.1/7932-8069	  138   [+0+] AFSB01201020.1/7932-8069 Heterocephalus glaber contig201020, whole genome shotgun sequence.
* Block 1834 <=== 1893	USER>>AFSB01083283.1/6576-6665	   90   [+0+] AFSB01083283.1/6576-6665 Heterocephalus glaber contig83283, whole genome shotgun sequence.
* Block 1835 <=== 1894	USER>>AAWZ02009376.1/148698-148561	  138   [+0+] AAWZ02009376.1/148698-148561 Anolis carolinensis chromosome 2 cont2.9375, whole genome shotgun sequence.
* Block 1836 <=== 1859	USER>>AAYZ01073175.1/893-775	  119   [+0+] AAYZ01073175.1/893-775 Ochotona princeps cont2.73174, whole genome shotgun sequence.
* Block 1837 <=== 1763	USER>>AANN01514920.1/11079-11187	  109   [+0+] AANN01514920.1/11079-11187 Erinaceus europaeus cont1.514919, whole genome shotgun sequence.
* Block 1838 <=== 1741	USER>>AANN01073826.1/857-964	  108   [+0+] AANN01073826.1/857-964 Erinaceus europaeus cont1.073825, whole genome shotgun sequence.
* Block 1839 <=== 1742	USER>>AFSB01073058.1/12405-12542	  138   [+0+] AFSB01073058.1/12405-12542 Heterocephalus glaber contig73058, whole genome shotgun sequence.
* Block 1840 <=== 1740	USER>>AAPE02006370.1/13470-13598	  129   [+0+] AAPE02006370.1/13470-13598 Myotis lucifugus cont2.6369, whole genome shotgun sequence.
* Block 1841 <=== 1699	USER>>AFSB01085373.1/29276-29413	  138   [+0+] AFSB01085373.1/29276-29413 Heterocephalus glaber contig85373, whole genome shotgun sequence.
* Block 1842 <=== 1669	USER>>AALT01657091.1/16130-15996	  135   [+0+] AALT01657091.1/16130-15996 Sorex araneus cont1.657090, whole genome shotgun sequence.
* Block 1843 <=== 1739	USER>>AAWZ02017533.1/155408-155323	   86   [+0+] AAWZ02017533.1/155408-155323 Anolis carolinensis chromosome 5 cont2.17532, whole genome shotgun sequence.
* Block 1844 <=== 1744	USER>>AAWZ02030881.1/4363-4228	  136   [+0+] AAWZ02030881.1/4363-4228 Anolis carolinensis chromosome Tnknown cont2.30880, whole genome shotgun sequence.
* Block 1845 <=== 1743	USER>>AAGW02013877.1/4242-4112	  131   [+0+] AAGW02013877.1/4242-4112 Oryctolagus cuniculus cont2.13876, whole genome shotgun sequence.
* Block 1846 <=== 1807	USER>>AALT01563980.1/3565-3440	  126   [+0+] AALT01563980.1/3565-3440 Sorex araneus cont1.563979, whole genome shotgun sequence.
* Block 1847 <=== 1803	USER>>AABR05100482.1/44023-44160	  138   [+1+] AABR05100482.1/44023-44160 Rattus norvegicus strain BN/SsNHsdMCW Contig100446, whole genome shotgun sequence.
* Block 1848 <=== 1851	USER>>AFSB01010735.1/4743-4870	  128   [+0+] AFSB01010735.1/4743-4870 Heterocephalus glaber contig10735, whole genome shotgun sequence.
* Block 1849 <=== 1784	USER>>AFSB01139482.1/602-489	  114   [+0+] AFSB01139482.1/602-489 Heterocephalus glaber contig139482, whole genome shotgun sequence.
* Block 1850 <=== 1783	USER>>AEHL01350572.1/929-1066	  138   [+1+] AEHL01350572.1/929-1066 Macaca fascicularis contig350572, whole genome shotgun sequence.
* Block 1851 <=== 1745	USER>>CAEC01531767.1/890-1026	  137   [+0+] CAEC01531767.1/890-1026 Macaca fascicularis, whole genome shotgun sequence, contig chr6_05995
* Block 1852 <=== 1806	USER>>AAGW02040055.1/16914-17020	  107   [+0+] AAGW02040055.1/16914-17020 Oryctolagus cuniculus cont2.40054, whole genome shotgun sequence.
* Block 1853 <=== 1805	USER>>AAWZ02010852.1/142231-142138	   94   [+0+] AAWZ02010852.1/142231-142138 Anolis carolinensis chromosome 3 cont2.10851, whole genome shotgun sequence.
* Block 1854 <=== 1804	USER>>AEYP01053337.1/3631-3743	  113   [+0+] AEYP01053337.1/3631-3743 Mustela putorius furo contig053337, whole genome shotgun sequence.
* Block 1855 <=== 1853	USER>>AGCE01034426.1/71646-71777	  132   [+0+] AGCE01034426.1/71646-71777 Saimiri boliviensis boliviensis contig034426, whole genome shotgun sequence.
* Block 1856 <=== 1854	USER>>AFSB01076953.1/3058-3148	   91   [+0+] AFSB01076953.1/3058-3148 Heterocephalus glaber contig76953, whole genome shotgun sequence.
* Block 1857 <=== 1687	USER>>AAIY01053318.1/3678-3784	  107   [+0+] AAIY01053318.1/3678-3784 Echinops telfairi cont1.053317, whole genome shotgun sequence.
* Block 1858 <=== 1773	USER>>AGAI01051347.1/43375-43253	  123   [+0+] AGAI01051347.1/43375-43253 Melopsittacus undulatus budgerigar_v6.3_ctg900160232360, whole genome shotgun sequence.
* Block 1859 <=== 1899	USER>>AEKW01001873.1/85431-85524	   94   [+2+] AEKW01001873.1/85431-85524 Prunus persica GB_scaffold150.contig9, whole genome shotgun sequence.
* Block 1860 <=== 1748	USER>>ABGA01270304.1/2052-2154	  103   [+0+] ABGA01270304.1/2052-2154 Pongo abelii chromosome 8 P_pygmaeus2.0.2_Contig1689.6, whole genome shotgun sequence.
* Block 1861 <=== 1776	USER>>AAIY01329182.1/1366-1251	  116   [+0+] AAIY01329182.1/1366-1251 Echinops telfairi cont1.329181, whole genome shotgun sequence.
* Block 1862 <=== 1816	USER>>AALT01508467.1/6119-6247	  129   [+0+] AALT01508467.1/6119-6247 Sorex araneus cont1.508466, whole genome shotgun sequence.
* Block 1863 <=== 1796	USER>>ACFV01050615.1/22179-22062	  118   [+0+] ACFV01050615.1/22179-22062 Callithrix jacchus Contig59.16, whole genome shotgun sequence.
* Block 1864 <=== 1968	USER>>ACBE01196575.1/853-745	  109   [+0+] ACBE01196575.1/853-745 Felis catus c426501227.Contig1, whole genome shotgun sequence.
* Block 1865 <=== 1822	USER>>ABRN01219934.1/2664-2548	  117   [+0+] ABRN01219934.1/2664-2548 Tursiops truncatus cont1.219933, whole genome shotgun sequence.
* Block 1866 <=== 1895	USER>>AAPN01376344.1/12581-12705	  125   [+0+] AAPN01376344.1/12581-12705 Ornithorhynchus anatinus Cont551.46, whole genome shotgun sequence.
* Block 1867 <=== 1868	USER>>AAWZ02017780.1/52851-52742	  110   [+0+] AAWZ02017780.1/52851-52742 Anolis carolinensis chromosome 3 cont2.17779, whole genome shotgun sequence.
* Block 1868 <=== 1867	USER>>AANG01639599.1/4800-4681	  120   [+1+] AANG01639599.1/4800-4681 Felis catus cont1.639598, whole genome shotgun sequence.
* Block 1869 <=== 1918	USER>>AALT01316019.1/161-269	  109   [+0+] AALT01316019.1/161-269 Sorex araneus cont1.316018, whole genome shotgun sequence.
* Block 1870 <=== 1919	USER>>AAYZ01309306.1/312-407	   96   [+1+] AAYZ01309306.1/312-407 Ochotona princeps cont2.309305, whole genome shotgun sequence.
* Block 1871 <=== 1993	USER>>AFSB01081009.1/6365-6468	  104   [+1+] AFSB01081009.1/6365-6468 Heterocephalus glaber contig81009, whole genome shotgun sequence.
* Block 1872 <=== 1917	USER>>AAGW02007733.1/46736-46850	  115   [+0+] AAGW02007733.1/46736-46850 Oryctolagus cuniculus cont2.7732, whole genome shotgun sequence.
* Block 1873 <=== 1863	USER>>AAQR03060787.1/40144-40018	  127   [+0+] AAQR03060787.1/40144-40018 Otolemur garnettii contig060787, whole genome shotgun sequence.
* Block 1874 <=== 1974	USER>>ABRT010477123.1/1584-1693	  110   [+0+] ABRT010477123.1/1584-1693 Tarsius syrichta cont1.477122, whole genome shotgun sequence.
* Block 1875 <=== 1879	USER>>AAQR03139007.1/3055-3153	   99   [+0+] AAQR03139007.1/3055-3153 Otolemur garnettii contig139007, whole genome shotgun sequence.
* Block 1876 <=== 1878	USER>>ACFV01076478.1/1294-1419	  126   [+0+] ACFV01076478.1/1294-1419 Callithrix jacchus Contig116.83, whole genome shotgun sequence.
* Block 1877 <=== 1864	USER>>ABRN01262829.1/427-528	  102   [+0+] ABRN01262829.1/427-528 Tursiops truncatus cont1.262828, whole genome shotgun sequence.
* Block 1878 <=== 1794	USER>>AAPE02017952.1/166901-167026	  126   [+0+] AAPE02017952.1/166901-167026 Myotis lucifugus cont2.17951, whole genome shotgun sequence.
* Block 1879 <=== 1978	USER>>AAGW02039037.1/88325-88412	   88   [+0+] AAGW02039037.1/88325-88412 Oryctolagus cuniculus cont2.39036, whole genome shotgun sequence.
* Block 1880 <=== 1958	USER>>AAQR03132155.1/35912-36032	  121   [+0+] AAQR03132155.1/35912-36032 Otolemur garnettii contig132155, whole genome shotgun sequence.
* Block 1881 <=== 1781	USER>>AAEX03006517.1/160324-160427	  104   [+0+] AAEX03006517.1/160324-160427 Canis lupus familiaris cont3.6517, whole genome shotgun sequence.
* Block 1882 <=== 1959	USER>>ADFV01005152.1/14939-15056	  118   [+0+] ADFV01005152.1/14939-15056 Nomascus leucogenys contig_50151, whole genome shotgun sequence.
* Block 1883 <=== 1841	USER>>AC193681.3/105694-105818	  125   [+9+] AC193681.3/105694-105818 Pan troglodytes BAC clone CH251-614D19 from chromosome x, complete sequence.
* Block 1884 <=== 1903	USER>>AALT01244296.1/620-497	  124   [+0+] AALT01244296.1/620-497 Sorex araneus cont1.244295, whole genome shotgun sequence.
* Block 1885 <=== 1913	USER>>AAYZ01133943.1/1065-955	  111   [+0+] AAYZ01133943.1/1065-955 Ochotona princeps cont2.133942, whole genome shotgun sequence.
* Block 1886 <=== 1914	USER>>DAAA02025490.1/302007-301894	  114   [+0+] DAAA02025490.1/302007-301894 TPA: Bos taurus chromosome 9 7180002022584, whole genome shotgun sequence.
* Block 1887 <=== 1824	USER>>AAQR03179738.1/1009-1125	  117   [+0+] AAQR03179738.1/1009-1125 Otolemur garnettii contig179738, whole genome shotgun sequence.
* Block 1888 <=== 1834	USER>>AAGW02047356.1/13986-14073	   88   [+0+] AAGW02047356.1/13986-14073 Oryctolagus cuniculus cont2.47355, whole genome shotgun sequence.
* Block 1889 <=== 1808	USER>>ABRP01319855.1/973-877	   97   [+0+] ABRP01319855.1/973-877 Pteropus vampyrus cont1.319854, whole genome shotgun sequence.
* Block 1890 <=== 1916	USER>>AAVX01031534.1/180-54	  127   [+0+] AAVX01031534.1/180-54 Callorhinchus milii scaf_1099306892195, whole genome shotgun sequence.
* Block 1891 <=== 1906	USER>>AAKN02011046.1/74767-74895	  129   [+0+] AAKN02011046.1/74767-74895 Cavia porcellus strain inbred line 2N cont2.11045, whole genome shotgun sequence.
* Block 1892 <=== 1964	USER>>AGKD01028295.1/1212-1110	  103   [+0+] AGKD01028295.1/1212-1110 Salmo salar Contig_028298, whole genome shotgun sequence.
* Block 1893 <=== 1949	USER>>AGKD01056685.1/1-99	   99   [+0+] AGKD01056685.1/1-99 Salmo salar Contig_056689, whole genome shotgun sequence.
* Block 1894 <=== 1965	USER>>AANG01094277.1/1281-1388	  108   [+0+] AANG01094277.1/1281-1388 Felis catus cont1.094276, whole genome shotgun sequence.
* Block 1895 <=== 1972	USER>>AEHK01118807.1/765-888	  124   [+0+] AEHK01118807.1/765-888 Macaca mulatta contig118807, whole genome shotgun sequence.
* Block 1896 <=== 2109	USER>>ABGA01200213.1/10871-10770	  102   [+0+] ABGA01200213.1/10871-10770 Pongo abelii chromosome 12 P_pygmaeus2.0.2_Contig736.25, whole genome shotgun sequence.
* Block 1897 <=== 2065	USER>>AFSB01132463.1/552-425	  128   [+0+] AFSB01132463.1/552-425 Heterocephalus glaber contig132463, whole genome shotgun sequence.
* Block 1898 <=== 2132	USER>>AAQR03042025.1/39611-39519	   93   [+0+] AAQR03042025.1/39611-39519 Otolemur garnettii contig042025, whole genome shotgun sequence.
* Block 1899 <=== 2102	USER>>ADFV01034902.1/77843-77966	  124   [+0+] ADFV01034902.1/77843-77966 Nomascus leucogenys contig_79902, whole genome shotgun sequence.
* Block 1900 <=== 2133	USER>>AAYZ01091770.1/1549-1445	  105   [+0+] AAYZ01091770.1/1549-1445 Ochotona princeps cont2.91769, whole genome shotgun sequence.
* Block 1901 <=== 2134	USER>>AANT01269050.1/7294-7183	  112   [+0+] AANT01269050.1/7294-7183 Macaca mulatta 1099214668763, whole genome shotgun sequence.
* Block 1902 <=== 2210	USER>>CAEC01297420.1/1686-1797	  112   [+1+] CAEC01297420.1/1686-1797 Macaca fascicularis, whole genome shotgun sequence, contig chr1_27903
* Block 1903 <=== 2257	USER>>CABD02014854.1/14874-14981	  108   [+0+] CABD02014854.1/14874-14981 Gorilla gorilla gorilla whole genome shotgun sequence assembly, chr1_91626102_1425077.4
* Block 1904 <=== 2336	USER>>AEHL01042303.1/2456-2565	  110   [+0+] AEHL01042303.1/2456-2565 Macaca fascicularis contig42303, whole genome shotgun sequence.
* Block 1905 <=== 2349	USER>>ABRT010018022.1/539-416	  124   [+0+] ABRT010018022.1/539-416 Tarsius syrichta cont1.18021, whole genome shotgun sequence.
* Block 1906 <=== 2258	USER>>ABRO01112951.1/1169-1063	  107   [+0+] ABRO01112951.1/1169-1063 Dipodomys ordii cont1.112950, whole genome shotgun sequence.
* Block 1907 <=== 2295	USER>>AAQR03057464.1/10543-10654	  112   [+0+] AAQR03057464.1/10543-10654 Otolemur garnettii contig057464, whole genome shotgun sequence.
* Block 1908 <=== 1925	USER>>ABVD01280771.1/1509-1636	  128   [+0+] ABVD01280771.1/1509-1636 Choloepus hoffmanni cont1.280770, whole genome shotgun sequence.
* Block 1909 <=== 1962	USER>>ABRP01123481.1/11666-11567	  100   [+0+] ABRP01123481.1/11666-11567 Pteropus vampyrus cont1.123480, whole genome shotgun sequence.
* Block 1910 <=== 1934	USER>>AFSB01171368.1/17501-17416	   86   [+0+] AFSB01171368.1/17501-17416 Heterocephalus glaber contig171368, whole genome shotgun sequence.
* Block 1911 <=== 1861	USER>>AGCE01074129.1/56247-56157	   91   [+0+] AGCE01074129.1/56247-56157 Saimiri boliviensis boliviensis contig074129, whole genome shotgun sequence.
* Block 1912 <=== 1896	USER>>AALT01061302.1/581-684	  104   [+0+] AALT01061302.1/581-684 Sorex araneus cont1.061301, whole genome shotgun sequence.
* Block 1913 <=== 1862	USER>>AAEX03015903.1/162157-162063	   95   [+0+] AAEX03015903.1/162157-162063 Canis lupus familiaris cont3.15903, whole genome shotgun sequence.
* Block 1914 <=== 1858	USER>>AANN01158273.1/153-259	  107   [+0+] AANN01158273.1/153-259 Erinaceus europaeus cont1.158272, whole genome shotgun sequence.
* Block 1915 <=== 1787	USER>>AANN01603245.1/5328-5231	   98   [+0+] AANN01603245.1/5328-5231 Erinaceus europaeus cont1.603244, whole genome shotgun sequence.
* Block 1916 <=== 1749	USER>>CABD02085905.1/3506-3607	  102   [+3+] CABD02085905.1/3506-3607 Gorilla gorilla gorilla whole genome shotgun sequence assembly, chr12_86932734_694508.43
* Block 1917 <=== 1797	USER>>AACZ03083915.1/10935-10834	  102   [+1+] AACZ03083915.1/10935-10834 Pan troglodytes chromosome 12 Contig17.26, whole genome shotgun sequence.
* Block 1918 <=== 1856	USER>>AFSB01185194.1/11943-11856	   88   [+0+] AFSB01185194.1/11943-11856 Heterocephalus glaber contig185194, whole genome shotgun sequence.
* Block 1919 <=== 1799	USER>>ABRT011141565.1/412-522	  111   [+0+] ABRT011141565.1/412-522 Tarsius syrichta cont1.1141564, whole genome shotgun sequence.
* Block 1920 <=== 1798	USER>>AFTD01065374.1/32709-32582	  128   [+0+] AFTD01065374.1/32709-32582 Cricetulus griseus cell line CHO-K1, whole genome shotgun sequence.
* Block 1921 <=== 1857	USER>>AEHL01332999.1/20011-19909	  103   [+0+] AEHL01332999.1/20011-19909 Macaca fascicularis contig332999, whole genome shotgun sequence.
* Block 1922 <=== 1788	USER>>CAEC01498274.1/24383-24281	  103   [+0+] CAEC01498274.1/24383-24281 Macaca fascicularis, whole genome shotgun sequence, contig chr5_14964
* Block 1923 <=== 1789	USER>>ABRM01131714.1/1302-1175	  128   [+0+] ABRM01131714.1/1302-1175 Hydra magnipapillata strain 105 ctg1101284295316, whole genome shotgun sequence.
* Block 1924 <=== 1818	USER>>ACZT01125439.1/519-646	  128   [+0+] ACZT01125439.1/519-646 Hydra magnipapillata strain 105 HYDRAscaffold_19535_Cont125439, whole genome shotgun sequence.
* Block 1925 <=== 1901	USER>>AASC02049930.1/13094-13004	   91   [+0+] AASC02049930.1/13094-13004 Aplysia californica cont2.49929, whole genome shotgun sequence.
* Block 1926 <=== 1939	USER>>AAWZ02002959.1/2094-2193	  100   [+0+] AAWZ02002959.1/2094-2193 Anolis carolinensis chromosome 1 cont2.2958, whole genome shotgun sequence.
* Block 1927 <=== 1921	USER>>AANT01290583.1/1959-1824	  136   [+2+] AANT01290583.1/1959-1824 Macaca mulatta 1099214620199, whole genome shotgun sequence.
* Block 1928 <=== 1902	USER>>CAEC01366028.1/2504-2369	  136   [+0+] CAEC01366028.1/2504-2369 Macaca fascicularis, whole genome shotgun sequence, contig chr2_13031
* Block 1929 <=== 1936	USER>>ADFV01025395.1/11463-11598	  136   [+0+] ADFV01025395.1/11463-11598 Nomascus leucogenys contig_70394, whole genome shotgun sequence.
* Block 1930 <=== 2027	USER>>AAMC01111646.1/4479-4349	  131   [+0+] AAMC01111646.1/4479-4349 Xenopus (Silurana) tropicalis XENTRscaffold_725_Cont111646, whole genome shotgun sequence.
* Block 1931 <=== 2110	USER>>AAGW02015436.1/5271-5373	  103   [+0+] AAGW02015436.1/5271-5373 Oryctolagus cuniculus cont2.15435, whole genome shotgun sequence.
* Block 1932 <=== 2097	USER>>AEYP01056640.1/88406-88508	  103   [+0+] AEYP01056640.1/88406-88508 Mustela putorius furo contig056640, whole genome shotgun sequence.
* Block 1933 <=== 2126	USER>>CAEC01091009.1/6326-6452	  127   [+0+] CAEC01091009.1/6326-6452 Macaca fascicularis, whole genome shotgun sequence, contig chr13_05287
* Block 1934 <=== 2121	USER>>ABGA01117549.1/15538-15634	   97   [+0+] ABGA01117549.1/15538-15634 Pongo abelii chromosome 13 P_pygmaeus2.0.2_Contig6076.3, whole genome shotgun sequence.
* Block 1935 <=== 2192	USER>>ABRN01140517.1/17065-17171	  107   [+0+] ABRN01140517.1/17065-17171 Tursiops truncatus cont1.140516, whole genome shotgun sequence.
